,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
18712,G57_20180618_151200,G57,2018/06/18,15:12:00,G57_20180618_151200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18713,G57_20180618_152800,G57,2018/06/18,15:28:00,G57_20180618_152800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18714,G57_20180618_154400,G57,2018/06/18,15:44:00,G57_20180618_154400.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18715,G57_20180618_160000,G57,2018/06/18,16:00:00,G57_20180618_160000.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18716,G57_20180618_161600,G57,2018/06/18,16:16:00,G57_20180618_161600.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18717,G57_20180618_163200,G57,2018/06/18,16:32:00,G57_20180618_163200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18718,G57_20180618_164800,G57,2018/06/18,16:48:00,G57_20180618_164800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18719,G57_20180618_200000,G57,2018/06/18,20:00:00,G57_20180618_200000.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,1,2,Moderate
18720,G57_20180618_201600,G57,2018/06/18,20:16:00,G57_20180618_201600.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,1,1,Light
18721,G57_20180618_203200,G57,2018/06/18,20:32:00,G57_20180618_203200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,1,1,Light
18722,G57_20180618_204800,G57,2018/06/18,20:48:00,G57_20180618_204800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18723,G57_20180618_210400,G57,2018/06/18,21:04:00,G57_20180618_210400.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18724,G57_20180618_212000,G57,2018/06/18,21:20:00,G57_20180618_212000.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18725,G57_20180618_213600,G57,2018/06/18,21:36:00,G57_20180618_213600.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18726,G57_20180618_215200,G57,2018/06/18,21:52:00,G57_20180618_215200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18727,G57_20180618_220800,G57,2018/06/18,22:08:00,G57_20180618_220800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18728,G57_20180618_222400,G57,2018/06/18,22:24:00,G57_20180618_222400.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18729,G57_20180618_224000,G57,2018/06/18,22:40:00,G57_20180618_224000.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18730,G57_20180618_225600,G57,2018/06/18,22:56:00,G57_20180618_225600.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18731,G57_20180618_231200,G57,2018/06/18,23:12:00,G57_20180618_231200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18732,G57_20180618_232800,G57,2018/06/18,23:28:00,G57_20180618_232800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18733,G57_20180618_234400,G57,2018/06/18,23:44:00,G57_20180618_234400.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18734,G57_20180619_000000,G57,2018/06/19,00:00:00,G57_20180619_000000.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18735,G57_20180619_001600,G57,2018/06/19,00:16:00,G57_20180619_001600.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18736,G57_20180619_003200,G57,2018/06/19,00:32:00,G57_20180619_003200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18737,G57_20180619_004800,G57,2018/06/19,00:48:00,G57_20180619_004800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18738,G57_20180619_010400,G57,2018/06/19,01:04:00,G57_20180619_010400.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18739,G57_20180619_012000,G57,2018/06/19,01:20:00,G57_20180619_012000.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18740,G57_20180619_013600,G57,2018/06/19,01:36:00,G57_20180619_013600.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18741,G57_20180619_015200,G57,2018/06/19,01:52:00,G57_20180619_015200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18742,G57_20180619_020800,G57,2018/06/19,02:08:00,G57_20180619_020800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18743,G57_20180619_022400,G57,2018/06/19,02:24:00,G57_20180619_022400.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18744,G57_20180619_024000,G57,2018/06/19,02:40:00,G57_20180619_024000.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18745,G57_20180619_025600,G57,2018/06/19,02:56:00,G57_20180619_025600.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18746,G57_20180619_031200,G57,2018/06/19,03:12:00,G57_20180619_031200.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
18747,G57_20180619_032800,G57,2018/06/19,03:28:00,G57_20180619_032800.wav,San Rafael,Area proteccion embalse EPM,6.3579,-74.9651,1308,Forest,0,0,No_rain
