,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
14303,G46_20180626_112800,G46,2018/06/26,11:28:00,G46_20180626_112800.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14304,G46_20180626_114400,G46,2018/06/26,11:44:00,G46_20180626_114400.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14305,G46_20180626_120000,G46,2018/06/26,12:00:00,G46_20180626_120000.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14306,G46_20180626_121600,G46,2018/06/26,12:16:00,G46_20180626_121600.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14307,G46_20180626_123200,G46,2018/06/26,12:32:00,G46_20180626_123200.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14308,G46_20180626_124800,G46,2018/06/26,12:48:00,G46_20180626_124800.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14309,G46_20180626_130400,G46,2018/06/26,13:04:00,G46_20180626_130400.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14310,G46_20180626_132000,G46,2018/06/26,13:20:00,G46_20180626_132000.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14311,G46_20180626_133600,G46,2018/06/26,13:36:00,G46_20180626_133600.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14312,G46_20180626_135200,G46,2018/06/26,13:52:00,G46_20180626_135200.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14313,G46_20180626_140800,G46,2018/06/26,14:08:00,G46_20180626_140800.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
14314,G46_20180626_142400,G46,2018/06/26,14:24:00,G46_20180626_142400.wav,San Rafael,Area proteccion embalse EPM,6.3493,-74.9931,1025,Forest,0,0,No_rain
