,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
8423,G25_20180604_132000,G25,2018/06/04,13:20:00,G25_20180604_132000.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8424,G25_20180604_133600,G25,2018/06/04,13:36:00,G25_20180604_133600.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8425,G25_20180604_135200,G25,2018/06/04,13:52:00,G25_20180604_135200.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8426,G25_20180604_140800,G25,2018/06/04,14:08:00,G25_20180604_140800.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8427,G25_20180604_142400,G25,2018/06/04,14:24:00,G25_20180604_142400.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8428,G25_20180604_144000,G25,2018/06/04,14:40:00,G25_20180604_144000.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8429,G25_20180604_145600,G25,2018/06/04,14:56:00,G25_20180604_145600.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8430,G25_20180604_151200,G25,2018/06/04,15:12:00,G25_20180604_151200.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8431,G25_20180604_152800,G25,2018/06/04,15:28:00,G25_20180604_152800.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8432,G25_20180604_154400,G25,2018/06/04,15:44:00,G25_20180604_154400.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8433,G25_20180604_160000,G25,2018/06/04,16:00:00,G25_20180604_160000.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
8434,G25_20180604_161600,G25,2018/06/04,16:16:00,G25_20180604_161600.wav,Alejandria,El Respaldo,6.3971,-75.0272,1320,Forest,0,0,No_rain
