,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
17263,G51_20180625_154400,G51,2018/06/25,15:44:00,G51_20180625_154400.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17264,G51_20180625_160000,G51,2018/06/25,16:00:00,G51_20180625_160000.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17265,G51_20180625_161600,G51,2018/06/25,16:16:00,G51_20180625_161600.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17266,G51_20180625_201600,G51,2018/06/25,20:16:00,G51_20180625_201600.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17267,G51_20180625_203200,G51,2018/06/25,20:32:00,G51_20180625_203200.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17268,G51_20180625_210400,G51,2018/06/25,21:04:00,G51_20180625_210400.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17269,G51_20180625_212000,G51,2018/06/25,21:20:00,G51_20180625_212000.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17270,G51_20180625_213600,G51,2018/06/25,21:36:00,G51_20180625_213600.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17271,G51_20180625_220800,G51,2018/06/25,22:08:00,G51_20180625_220800.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17272,G51_20180625_222400,G51,2018/06/25,22:24:00,G51_20180625_222400.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17273,G51_20180625_224000,G51,2018/06/25,22:40:00,G51_20180625_224000.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17274,G51_20180625_225600,G51,2018/06/25,22:56:00,G51_20180625_225600.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17275,G51_20180625_232800,G51,2018/06/25,23:28:00,G51_20180625_232800.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17276,G51_20180625_234400,G51,2018/06/25,23:44:00,G51_20180625_234400.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17277,G51_20180626_000000,G51,2018/06/26,00:00:00,G51_20180626_000000.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17278,G51_20180626_001600,G51,2018/06/26,00:16:00,G51_20180626_001600.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17279,G51_20180626_003200,G51,2018/06/26,00:32:00,G51_20180626_003200.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17280,G51_20180626_004800,G51,2018/06/26,00:48:00,G51_20180626_004800.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17281,G51_20180626_010400,G51,2018/06/26,01:04:00,G51_20180626_010400.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17282,G51_20180626_012000,G51,2018/06/26,01:20:00,G51_20180626_012000.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17283,G51_20180626_013600,G51,2018/06/26,01:36:00,G51_20180626_013600.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17284,G51_20180626_015200,G51,2018/06/26,01:52:00,G51_20180626_015200.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17285,G51_20180626_020800,G51,2018/06/26,02:08:00,G51_20180626_020800.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17286,G51_20180626_022400,G51,2018/06/26,02:24:00,G51_20180626_022400.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17287,G51_20180626_024000,G51,2018/06/26,02:40:00,G51_20180626_024000.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17288,G51_20180626_025600,G51,2018/06/26,02:56:00,G51_20180626_025600.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
17289,G51_20180626_031200,G51,2018/06/26,03:12:00,G51_20180626_031200.wav,San Rafael,Area proteccion embalse EPM,6.3602,-75.0071,1368,Forest,0,0,No_rain
